query_id,answer
438,1909 4234 4403 4396 3261 4286 1951 1901 4532 4328
439,4440 2222 4389 2886 2646 4395 2894 4307 3254 2171
440,4219 2646 4214 4395 4308 1951 4424 4389 2865 4384
441,4219 2646 4440 4389 4234 1951 4308 4384 1882 4361
442,4395 4219 4214 2646 4424 4389 4328 4308 4286 4276
443,4219 2865 4400 1966 2646 4384 4361 4387 4234 4218
444,4451 4214 2698 4234 4219 1951 4286 3478 4308 4400
445,4328 4286 4396 4219 4234 1951 4308 4214 1907 1828
446,4423 4219 2646 1951 4234 4400 1836 4328 4364 4451
447,4219 4387 1958 1966 2646 4384 4400 4234 4395 1951
448,4400 4219 1966 4387 4403 4384 2646 2831 4440 4532
449,4219 4387 1958 2646 4400 2865 4384 4403 1966 4361
450,4328 4400 4219 2646 1966 2865 1961 4234 4403 1951
451,1951 4214 3467 4234 3862 2646 4328 4219 4433 4361
452,4219 4308 4389 2646 4214 3565 4395 4384 1951 1966
453,4384 4440 4389 4312 2646 4313 3077 4219 3862 1966
454,4219 4234 4361 1951 4451 4400 2646 4389 4396 4328
455,1951 4234 4214 4361 4403 4219 4400 2698 4395 1907
456,4361 4219 4234 4440 4384 3467 1951 4451 4400 2646
457,1951 4234 4308 3467 4219 2698 4214 2665 2646 1899
458,1951 4440 4320 4234 4214 4224 4308 3467 4395 2222
459,4423 3028 1951 4234 4364 4219 2865 2908 2646 4318
460,4219 4361 2646 1966 4400 2865 4384 1958 4234 4387
461,4219 4395 4214 4424 2646 4396 2665 4234 4328 4308
462,4234 4440 4219 4451 4133 2222 1951 4400 4433 4308
463,4219 4384 2865 1966 4214 4361 4400 1951 2646 4387
464,4219 2646 2865 4384 4400 4328 1966 4387 2721 4396
465,4219 1966 2865 4361 4387 4384 4286 4234 4328 4400
466,4214 4440 2665 4219 4234 4395 4273 2209 4400 4451
467,1951 4234 2698 4214 4403 4400 4308 4361 2646 4532
468,4440 2222 4224 4234 4307 4395 4451 4361 4328 4389
469,4440 2646 4219 4389 4451 4234 1951 2222 4214 4328
470,4219 2865 4384 4400 1966 4387 2646 4532 4395 1958
471,3580 3467 4234 2095 4361 4400 4451 2698 4214 4218
472,4440 4234 4224 3993 4134 3254 4276 2095 4328 1951
473,4312 4219 4313 4440 3077 2646 4384 4400 1966 4361
474,1951 4214 4387 4328 2698 4219 4234 4286 3467 4396
475,4440 4219 2865 2886 2894 4389 2646 1951 4214 3254
476,4440 4219 2646 2886 4389 4384 2865 3128 3254 2222
477,2663 4440 2253 2968 4219 1951 4389 3128 4214 2204
478,4219 2646 1966 4387 4384 2865 1951 4234 4400 4395
479,4328 4234 1951 4308 4396 1899 1909 4286 1910 1958
480,4219 4400 2865 4387 2646 1966 4384 2886 4440 2831
481,2222 4008 4440 4283 1951 4395 4214 4451 4307 3128
482,4396 2646 1951 4362 4308 4234 2698 4328 4214 3265
483,4328 4396 4286 4234 1909 1907 4451 4219 4387 3467
484,4219 1966 4384 2646 4440 4400 4387 4403 4308 4218
485,1966 4219 2865 4400 4361 4387 2646 4403 1958 4286
486,4308 1951 4234 4396 4361 4403 4219 4214 2646 2865
487,1909 4328 4234 4396 4308 4361 1910 4219 1958 4286
488,1951 3467 3861 4234 4396 4320 4328 4286 2665 4308
489,1951 4214 4234 4219 2698 4451 2665 4308 2646 3478
490,4384 2646 4389 4219 4361 4234 4400 4403 4328 4308
491,4395 4219 2646 4214 4384 4440 4424 2865 4308 4234
492,4219 4387 2646 1966 4384 1958 2865 4400 4395 4214
493,4440 4389 1951 3128 4307 4219 2646 2886 4395 2894
494,4214 4234 2698 1951 4451 4219 2646 4400 4395 4308
495,4423 4364 4219 4389 3028 4232 4307 2646 2908 4372
496,4234 4219 4361 2646 4328 1909 1958 1966 2865 4387
497,3843 2944 4219 4395 2521 2646 4214 4361 4424 4234
498,4361 4219 4400 2943 2865 4384 4387 1958 4234 4395
499,4234 4214 3995 4328 2698 4286 2665 1951 4451 4440
500,4362 4433 4234 2196 4440 1951 4214 4451 4400 4219
